testcase,ruleId,file,line
BenchmarkTest00008,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00008.java,57
BenchmarkTest00018,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00018.java,59
BenchmarkTest00024,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00024.java,54
BenchmarkTest00025,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00025.java,53
BenchmarkTest00026,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00026.java,50
BenchmarkTest00027,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00027.java,52
BenchmarkTest00032,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00032.java,54
BenchmarkTest00033,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00033.java,54
BenchmarkTest00034,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00034.java,56
BenchmarkTest00037,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00037.java,68
BenchmarkTest00038,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00038.java,65
BenchmarkTest00039,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00039.java,65
BenchmarkTest00043,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00043.java,54
BenchmarkTest00100,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00100.java,79
BenchmarkTest00101,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00101.java,83
BenchmarkTest00102,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00102.java,73
BenchmarkTest00103,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00103.java,77
BenchmarkTest00106,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00106.java,82
BenchmarkTest00108,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00108.java,91
BenchmarkTest00109,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00109.java,79
BenchmarkTest00111,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00111.java,82
BenchmarkTest00112,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00112.java,74
BenchmarkTest00113,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00113.java,78
BenchmarkTest00115,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00115.java,77
BenchmarkTest00190,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00190.java,70
BenchmarkTest00191,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00191.java,79
BenchmarkTest00192,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00192.java,77
BenchmarkTest00193,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00193.java,64
BenchmarkTest00195,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00195.java,61
BenchmarkTest00196,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00196.java,61
BenchmarkTest00197,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00197.java,67
BenchmarkTest00198,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00198.java,61
BenchmarkTest00199,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00199.java,64
BenchmarkTest00203,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00203.java,63
BenchmarkTest00204,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00204.java,60
BenchmarkTest00205,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00205.java,68
BenchmarkTest00328,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00328.java,65
BenchmarkTest00331,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00331.java,66
BenchmarkTest00335,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00335.java,66
BenchmarkTest00337,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00337.java,70
BenchmarkTest00339,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00339.java,63
BenchmarkTest00342,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00342.java,70
BenchmarkTest00428,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00428.java,63
BenchmarkTest00429,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00429.java,60
BenchmarkTest00431,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00431.java,57
BenchmarkTest00432,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00432.java,61
BenchmarkTest00433,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00433.java,56
BenchmarkTest00435,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00435.java,58
BenchmarkTest00438,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00438.java,58
BenchmarkTest00439,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00439.java,53
BenchmarkTest00440,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00440.java,59
BenchmarkTest00441,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00441.java,55
BenchmarkTest00509,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00509.java,65
BenchmarkTest00510,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00510.java,78
BenchmarkTest00512,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00512.java,57
BenchmarkTest00513,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00513.java,63
BenchmarkTest00515,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00515.java,67
BenchmarkTest00516,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00516.java,76
BenchmarkTest00518,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00518.java,59
BenchmarkTest00519,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00519.java,63
BenchmarkTest00589,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00589.java,79
BenchmarkTest00590,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00590.java,74
BenchmarkTest00591,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00591.java,70
BenchmarkTest00593,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00593.java,88
BenchmarkTest00594,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00594.java,73
BenchmarkTest00595,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00595.java,73
BenchmarkTest00596,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00596.java,75
BenchmarkTest00597,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00597.java,67
BenchmarkTest00598,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00598.java,73
BenchmarkTest00602,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00602.java,77
BenchmarkTest00603,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00603.java,69
BenchmarkTest00604,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00604.java,74
BenchmarkTest00606,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00606.java,72
BenchmarkTest00673,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00673.java,60
BenchmarkTest00677,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00677.java,61
BenchmarkTest00678,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00678.java,61
BenchmarkTest00679,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00679.java,56
BenchmarkTest00680,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00680.java,61
BenchmarkTest00681,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00681.java,55
BenchmarkTest00682,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00682.java,74
BenchmarkTest00760,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00760.java,60
BenchmarkTest00761,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00761.java,74
BenchmarkTest00762,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00762.java,62
BenchmarkTest00763,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00763.java,75
BenchmarkTest00764,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00764.java,56
BenchmarkTest00765,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00765.java,58
BenchmarkTest00767,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00767.java,75
BenchmarkTest00768,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00768.java,56
BenchmarkTest00770,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00770.java,65
BenchmarkTest00771,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00771.java,60
BenchmarkTest00772,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00772.java,74
BenchmarkTest00773,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00773.java,65
BenchmarkTest00774,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00774.java,74
BenchmarkTest00837,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00837.java,85
BenchmarkTest00838,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00838.java,98
BenchmarkTest00839,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00839.java,83
BenchmarkTest00842,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00842.java,88
BenchmarkTest00843,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00843.java,83
BenchmarkTest00844,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00844.java,87
BenchmarkTest00845,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00845.java,80
BenchmarkTest00847,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00847.java,87
BenchmarkTest00848,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00848.java,77
BenchmarkTest00849,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00849.java,87
BenchmarkTest00850,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00850.java,87
BenchmarkTest00996,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00996.java,73
BenchmarkTest00997,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00997.java,75
BenchmarkTest00998,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00998.java,75
BenchmarkTest01000,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01000.java,75
BenchmarkTest01002,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01002.java,73
BenchmarkTest01003,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01003.java,73
BenchmarkTest01004,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01004.java,73
BenchmarkTest01006,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01006.java,73
BenchmarkTest01007,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01007.java,71
BenchmarkTest01008,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01008.java,70
BenchmarkTest01009,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01009.java,70
BenchmarkTest01011,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01011.java,72
BenchmarkTest01012,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01012.java,72
BenchmarkTest01083,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01083.java,60
BenchmarkTest01084,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01084.java,59
BenchmarkTest01085,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01085.java,56
BenchmarkTest01087,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01087.java,59
BenchmarkTest01088,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01088.java,59
BenchmarkTest01089,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01089.java,58
BenchmarkTest01090,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01090.java,58
BenchmarkTest01091,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01091.java,58
BenchmarkTest01093,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01093.java,58
BenchmarkTest01094,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01094.java,58
BenchmarkTest01096,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01096.java,58
BenchmarkTest01097,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01097.java,58
BenchmarkTest01098,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01098.java,58
BenchmarkTest01208,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01208.java,62
BenchmarkTest01209,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01209.java,61
BenchmarkTest01210,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01210.java,62
BenchmarkTest01211,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01211.java,62
BenchmarkTest01212,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01212.java,61
BenchmarkTest01215,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01215.java,61
BenchmarkTest01216,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01216.java,60
BenchmarkTest01219,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01219.java,60
BenchmarkTest01221,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01221.java,60
BenchmarkTest01222,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01222.java,60
BenchmarkTest01302,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01302.java,55
BenchmarkTest01303,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01303.java,54
BenchmarkTest01304,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01304.java,55
BenchmarkTest01306,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01306.java,54
BenchmarkTest01308,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01308.java,54
BenchmarkTest01310,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01310.java,53
BenchmarkTest01311,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01311.java,53
BenchmarkTest01312,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01312.java,53
BenchmarkTest01313,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01313.java,53
BenchmarkTest01314,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01314.java,53
BenchmarkTest01379,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01379.java,59
BenchmarkTest01381,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01381.java,58
BenchmarkTest01382,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01382.java,58
BenchmarkTest01383,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01383.java,59
BenchmarkTest01384,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01384.java,58
BenchmarkTest01385,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01385.java,58
BenchmarkTest01386,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01386.java,58
BenchmarkTest01388,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01388.java,58
BenchmarkTest01389,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01389.java,55
BenchmarkTest01390,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01390.java,58
BenchmarkTest01391,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01391.java,57
BenchmarkTest01394,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01394.java,57
BenchmarkTest01395,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01395.java,57
BenchmarkTest01396,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01396.java,57
BenchmarkTest01459,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01459.java,67
BenchmarkTest01460,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01460.java,69
BenchmarkTest01461,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01461.java,69
BenchmarkTest01462,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01462.java,69
BenchmarkTest01463,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01463.java,69
BenchmarkTest01464,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01464.java,69
BenchmarkTest01465,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01465.java,65
BenchmarkTest01466,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01466.java,66
BenchmarkTest01467,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01467.java,65
BenchmarkTest01470,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01470.java,66
BenchmarkTest01473,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01473.java,67
BenchmarkTest01474,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01474.java,67
BenchmarkTest01475,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01475.java,67
BenchmarkTest01476,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01476.java,67
BenchmarkTest01477,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01477.java,67
BenchmarkTest01552,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01552.java,57
BenchmarkTest01553,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01553.java,53
BenchmarkTest01554,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01554.java,53
BenchmarkTest01555,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01555.java,56
BenchmarkTest01556,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01556.java,56
BenchmarkTest01557,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01557.java,55
BenchmarkTest01558,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01558.java,55
BenchmarkTest01559,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01559.java,55
BenchmarkTest01560,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01560.java,55
BenchmarkTest01620,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01620.java,55
BenchmarkTest01621,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01621.java,57
BenchmarkTest01622,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01622.java,57
BenchmarkTest01623,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01623.java,57
BenchmarkTest01625,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01625.java,56
BenchmarkTest01626,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01626.java,55
BenchmarkTest01627,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01627.java,55
BenchmarkTest01628,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01628.java,55
BenchmarkTest01630,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01630.java,55
BenchmarkTest01631,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01631.java,55
BenchmarkTest01712,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01712.java,77
BenchmarkTest01713,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01713.java,77
BenchmarkTest01715,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01715.java,79
BenchmarkTest01716,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01716.java,79
BenchmarkTest01717,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01717.java,79
BenchmarkTest01718,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01718.java,79
BenchmarkTest01719,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01719.java,78
BenchmarkTest01720,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01720.java,75
BenchmarkTest01721,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01721.java,76
BenchmarkTest01722,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01722.java,76
BenchmarkTest01723,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01723.java,78
BenchmarkTest01724,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01724.java,75
BenchmarkTest01725,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01725.java,77
BenchmarkTest01726,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01726.java,75
BenchmarkTest01728,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01728.java,77
BenchmarkTest01729,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01729.java,77
BenchmarkTest01730,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01730.java,77
BenchmarkTest01731,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01731.java,77
BenchmarkTest01733,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01733.java,77
BenchmarkTest01877,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01877.java,75
BenchmarkTest01879,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01879.java,74
BenchmarkTest01880,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01880.java,74
BenchmarkTest01882,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01882.java,71
BenchmarkTest01883,java/sql-injection,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01883.java,70
