cwe	tp	fp	fn	precision	recall	f1	raw_findings	dedup_findings	outside_scope_findings
CWE-022	133	108	0	0.5519	1.0	0.7112	241	241	0
CWE-078	126	97	0	0.5650	1.0	0.7221	223	223	0
CWE-079	246	96	0	0.7193	1.0	0.8367	342	342	0
CWE-089	272	150	0	0.6445	1.0	0.7839	422	422	0
CWE-090	27	22	0	0.5510	1.0	0.7105	49	49	0
CWE-327	130	27	0	0.8280	1.0	0.9059	157	157	0
CWE-328	128	1	0	0.9922	1.0	0.9961	129	129	1
CWE-330	218	0	0	1.0000	1.0	1.0000	218	218	0
CWE-501	83	34	0	0.7094	1.0	0.8300	117	117	0
CWE-614	36	0	0	1.0000	1.0	1.0000	36	36	0
CWE-643	15	18	0	0.4545	1.0	0.6250	33	33	0
MICRO	1414	553	0	0.7189	1.0	0.8364	1967	1967	1
