cwe	tp	fp_all_non_gt	fp_in_scope	fn	precision_all_non_gt	recall	f1_all_non_gt	raw_findings	dedup_findings	outside_scope_findings
CWE-022	133	67	66	0	0.6650	1.0	0.7988	200	200	1
CWE-078	126	64	64	0	0.6632	1.0	0.7975	190	190	0
CWE-079	246	1475	90	0	0.1429	1.0	0.2501	1724	1721	1385
CWE-089	272	207	207	0	0.5678	1.0	0.7244	479	479	0
CWE-090	27	13	13	0	0.6750	1.0	0.8060	40	40	0
CWE-327	130	189	27	0	0.4075	1.0	0.5791	533	319	162
CWE-328	129	190	33	0	0.4044	1.0	0.5759	533	319	157
CWE-330	218	0	0	0	1.0000	1.0	1.0000	218	218	0
CWE-501	83	24	24	0	0.7757	1.0	0.8737	107	107	0
CWE-614	36	0	0	0	1.0000	1.0	1.0000	36	36	0
CWE-643	15	7	7	0	0.6818	1.0	0.8108	22	22	0
MICRO	1415	2236	531	0	0.3876	1.0	0.5586	4082	3651	1705
